Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
Атлас по рефлексотерапии. Акупунктурные рецепты. Выпуск 4,Усакова Н.А.,"Воздействие на активные точки тела с лечебной целью является одним из методов рефлексотерапии. Эти точки называются ""жизненными"", китайскими, точками акупунктуры. Последнее название в современной литературе по рефлексотерапии встречается часто и происходит от слова ""акус"" - игла, обозначая, таким образом участки тела, в которые производится укалывание иглой при иглотерапии. При проведении лечения методами рефлексотерапии рекомендуют придерживаться общих принципов сочетания биологически активных точек, которые были разработаны еще древневосточными врачами.",2 400 тг,4,Амрита-Русь,2018 г.,9785000537114,48,Мягкий,290 мм x 220 мм,185 г.,http://www.bookcity.kz/content/images/thumbs/5099458_1434577.jpeg
Аюрведа и ум: аюрведическая психотерапия,Фроули Д.,"В книге известного специалиста по аюрведе и ведическим знаниям излагается анатомия психических функций с позиций аюрведы. Дается обзор аюрведических методов психотерапии. Показывается роль в психотерапии духовных практик, таких как йога и медитация.Для изучающих аюрведу, психотерапию и ведические знания.",9 900 тг,3,Саттва,2016 г.,9785852961013,304,Твердый,215 мм x 145 мм,415 г.,http://www.bookcity.kz/content/images/thumbs/5113504_1446734.jpeg
Аюрведа. Древнеиндийская медицинская практика,Матвеев С.А.,"В книге дана характеристика традиционной индийской медицины (аюрведы), подробно разобраны ее базисные принципы, указаны направления развития и значение в современном обществе. Древнеиндийские аюрведические представления тесно переплетаются с религиозными, мифологическими знаниями.",2 100 тг,3,Амрита-Русь,2016 г.,9785000536094,208,Мягкий,200 мм x 130 мм,170 г.,http://www.bookcity.kz/content/images/thumbs/5083735_1422777.jpeg
Аюрведа. Женские проблемы,Атрея С.,"Книга рассказывает об аюрведических методах лечения женских патологий и устранения их причин. Описаны аюрведические составы из трав, распространенных в Северной Америке и Европе. Для ищущих альтернативу Западной медицине и предпочитающих естественные методы укрепления здоровья.",7 200 тг,0,Саттва,2016 г.,9785903851768,256,Твердый,215 мм x 145 мм,360 г.,http://www.bookcity.kz/content/images/thumbs/5049414_1393050.jpeg
Аюрведа. Наука о здоровье,Кришнамачарья Э.,Аюрведа. Наука о здоровье (6-е изд.) Такова область применения аюрведы - науки жизни. Автор книги популярно раскрывает природу этой науки.,1 200 тг,4,Амрита-Русь,2016 г.,9785413011829,160,Мягкий,165 мм x 107 мм,85 г.,http://www.bookcity.kz/content/images/thumbs/5002972_1324518.jpeg
Аюрведа. Целебные свойства пряностей,Рагозин Б.,"Прочитав эту книгу, вы узнаете о лечебных и профилактических свойствах специй, научитесь правильно использовать их и сочетать с различными продуктами. Вы узнаете, как специи могут повлиять на ваше здоровье, умонастроение, и на собственной практике убедитесь в целебных свойствах специй и пряностей, которые при правильном использовании воздействуют на организм без побочных эффектов. Вы также узнаете как применять специи в кулинарии, и познакомитесь с простыми, но вместе с тем уникальными рецептами. Данное издание является дополненным изданием книги ""Формула здоровья"".",3 900 тг,3,Философская книга,2015 г.,9785820502910,1,Мягкий,200 мм x 130 мм,280 г.,http://www.bookcity.kz/content/images/thumbs/5081663_1420371.jpeg
"Аюрведа: жизнь, здоровье, долголетие",Свобода Р.,"Книга знакомит с философией, историей и практикой аюрведы - искусством исцеления, развившемся из Вед. Терапевтические методы аюрведы используют травы, минералы, очистительные процедуры и духовные практики и охватывают все планы бытия человека - физический, психический и духовный. Книга может быть интересной и тем, кто только начинает изучать аюрведу, и тем, кто хочет расширить свои познания в этой области.",9 500 тг,3,Саттва,2016 г.,9785903851485,384,Твердый,215 мм x 145 мм,515 г.,http://www.bookcity.kz/content/images/thumbs/5086865_1425525.jpeg
Аюрведическая терапия,Фроули Д.,Неизвестно,10 800 тг,0,Саттва,2018 г.,9785903851959,Твердый,230 мм x 150 мм,26 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5094016_1431928.jpeg
Баночный самомассаж: Мгновенный лифтинг-эффект. Faceday,Каркукли Е.А.,"Эта книга для тех, кто испытывает дискомфорт или недоволен своей внешностью, хочет замедлить старение и на всех важных мероприятиях, фотографиях выглядеть великолепно.""В 32 года я начала замечать первые возрастные изменения, которые не давали мне покоя... в 33 стала заниматься и нашла нечто очень эффективное и полезное, способное менять время, внешность и внутреннее состояние! Причем так быстро, что сначала я неповерила своему счастью и глазам.У меня выросли крылья, мне хотелось рассказать об этом всему миру, ведь я знаю, как помочь себе и миллионам других!"" - именно это и делает сейчас Елена Каркукли, международный эксперт по фейсфитнесу. В своей новой книге она делится уникальной методикой восстановления молодости и красоты, обладающей эффектом мгновенного лифтинга - баночным вакуумным самомассажем.Это как поход к косметологу, но в любое время я, в любом месте, самостоятельно и совершенно бесплатно.",3 200 тг,4,Эксмо,2018 г.,9785040897742,128,Мягкий,240 мм x 170 мм,225 г.,http://www.bookcity.kz/content/images/thumbs/5122903_1455639.jpeg
Биолокация в повседневной жизни,"Ровинский А.В., Ровинская Н.Н.","Авторы настоящего издания, А.В.Ровинский и Н.Н.Ровинская, - практикующие Мастера Рей Ки, целители. Их книги отличает то, что они имеют непосредственное практическое применение и оказывают конкретную помощь. Из данной книги вы узнаете о биолокации здесь объясняются принципы этого явления, которое известно человечеству вот уже более 4000 лет. Также подробно расписаны примеры практической работы с инструментом биолокации, рассказывается о том, как правильно держать рамку, как выбирать инструмент ""по руке"", какие и каким именно образом задавать вопросы, чтобы получить наиболее достоверные ответы. Работа с рамкой может помочь в различных ситуациях: от выбора удачного места и времени проведения отпуска до определения и нейтрализации геопатогенных зон внутри жилых помещений и офисов.",1 400 тг,0,Амрита-Русь,2017 г.,9785413012536,112,Мягкий,200 мм x 130 мм,90 г.,http://www.bookcity.kz/content/images/thumbs/5070170_1404493.jpeg
Биолокация для всех. Система самодиагностики и самоисцеления человека,Пучко Л.Г.,"В книге излагается разработанная автором и не имеющая аналогов в мире система (само) диагностики и (само) исцеления человека, базирующаяся на радиэстезическом методе (биолокации) и использующая все самое ценное из древней восточной медицины, достижения современной медицины и фундаментальной науки в целом, результаты исследований и практический опыт автора и ее учеников. Эта система позволяет, прежде всего, выявлять невидимые и пока нерегистрируемые никакими другими средствами патологические отклонения организма, то есть проводить раннюю диагностику онкологических, инфекционных, психических, психосоматических и других заболеваний, определять глубинные причины этих заболеваний и находить наиболее эффективные пути исцеления для конкретного человека. Используя данную систему, можно легко решить множество практических задач, таких как: можно ли употреблять в пищу тот или иной продукт, носить ту или иную одежду, украшения, пользоваться той или иной косметикой, строить дом на...",5 200 тг,5,АСТ,2019 г.,9785170438563,320,Твердый,240 мм x 170 мм,534 г.,http://www.bookcity.kz/content/images/thumbs/5107796_1365053.jpeg
Биолокация. Обследование тонких структур. Обмен информацией. Биотензоры. Маятники,Никитин Е.,"В настоящее время биолокация - это группа парапсихологических практик (наравне с ясновидением), не только декларирующая возможность обнаружения скрытых предметов, расположенных под землей, источников воды, ""геопатогенных зон"", ""линий магической силы"" и т. п. с помощью лозы, специальной рамки, маятника или иных приспособлений, но и получение сведений из прошлого, настоящего и будущего, которые помогут раскрыть характер человека, наличие в нем болезненных состояний, установят объем и интенсивность излучений окружающей среды. Биолокационные индикаторы незаменимы при поиске потерянных предметов, археологических объектов, месторождений полезных ископаемых. И это - далеко не полный список того, о чем можно узнать при помощи биолокации.",1 600 тг,4,Флинта,2018 г.,9785897505036,124,Мягкий,200 мм x 130 мм,80 г.,http://www.bookcity.kz/content/images/thumbs/5097425_1435021.jpeg
Биолокация. Практическое руководство,Шмелевская И.,"""Биолокация"" или ""радиэстезия"" - современное название ""лозоходства"" - древней технологии поиска подземных вод, кладов, пустот и т.п. с помощью маятника, рамки или лозы. Данный термин образован от латинских слов bio (жизнь), и loco (место), и изначально обозначал способность животных и человека определять локализацию, т.е. местонахождение определенных объектов поиска (направление на них и расстояние или глубину). При этом подразумевается, что способ, с по- мощью которого при биолокации определяется местонахождение объята, основан на использовании не обычных органов чувств, а так называемого биолокационного эффекта. Этот эффект выражается в том, что при прохождении над объектом поиска наблюдается отклонение или вращение лозы, маятника или специальной металлической рамки, находящихся в руках определенных лиц. В настоящее время биолокация - это группа парапсихологических практик (наравне с ясновидением), не только декларирующая возможность обнаружения скрытых предметов,...",1 500 тг,0,Профит Стайл,2019 г.,9785988572930,110,Мягкий,200 мм x 130 мм,80 г.,http://www.bookcity.kz/content/images/thumbs/5052100_1395567.jpeg
Биоритмы для здоровья. Как улучшить свое состояние по биологическим часам,Доскин В.,"""Болезни - это результат поломки биологических часов"", - считает профессор Валерий Анатольевич Доскин. В своей книге автор знакомит читателя с новейшими научными данными о влиянии на здоровье природных факторов и приводит уникальные рекомендации, которые помогут улучшить самочувствие, предотвратить многие опасные заболевания, а также справиться с обострениями при перемене погоды и климата. Внимание! Информация, содержащаяся в книге, не может служить заменой консультации врача. Необходимо проконсультироваться со специалистом перед применением любых рекомендуемых действий.",1 600 тг,0,Эксмо,2015 г.,9785699793358,224,Мягкий,200 мм x 145 мм,220 г.,http://www.bookcity.kz/content/images/thumbs/5103878_1440312.jpeg
Биосознание. Пробуждение и развитие сверхспособностей,Розов С.П.,"В этой книге - метод лечения будущего! Почему? Потому что эта книга научит вас управлять самой мощной энергией, которую сегодня штурмует современная наука. Управлять биоэнергией, направлять ее на лечение болезней! Эта книга предлагает программу практического освоения биоэнергии. В основе программы лежит важнейшее открытие, сделанное автором этой книги. С.П.Розов, ученый-исследователь, проверил свою программу на сотнях слушателей в Санкт-Петербурге, Прибалтике, Финляндии в течение своей многолетней практики. Программа работает! Программа дает потрясающие результаты! В учениках Розова независимо от пола, возраста, образования пробуждаются неведомые силы, способности и возможности. Эта книга посвящена лечению. Автор научит вас, как следует избавляться от болезни, создавать целительные пространства, как выбирать и тестировать лекарства и еще многое, многое другое. Эта книга своим появлением открывает новую эру в лечении самых тяжелых заболеваний.",2 700 тг,0,АСТ,2015 г.,9785170924875,448,Твердый,215 мм x 145 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5077794_1417049.jpeg
Большой атлас целительных точек. 200 китайских оздоровительных упражнений,Минь Л.,"За 5000 лет своего существования китайская медицина накопила колоссальный опыт оздоровления человеческого организма. Книга, которую вы держите в руках, познакомит вас с основами управления жизненной энергией и действенными приемами, позволяющими облегчить состояние при практически любом заболевании, вплоть до полного избавления от него..Атлас биологически активных точек, подробные рисунки и рекомендации помогут вам освоить древнее искусство акупрессуры, исцеляющее больные органы.",2 600 тг,3,АСТ,2019 г.,9785171138899,Твердый,20 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5128046_1460534.jpeg
Быстрое исцеление тела. Тайны души,Пейчев Н.В.,"Книга ""Быстрое исцеление тела"" написана как продолжение книги ""Многомерная модель человека"". Автор делится своими наработками, дает медитации и практики по развитию способности восприятия и видения мира через душу, а не через линзы разума.",1 600 тг,4,Амрита-Русь,2017 г.,9785000534816,240,Мягкий,200 мм x 130 мм,170 г.,http://www.bookcity.kz/content/images/thumbs/5080802_1419729.jpeg
В поисках настоящей любви,Гогулан М.Ф.,"Перед вами книга, написанная мужественной женщиной. На ее долю выпали тяжелые испытания: нелегкое детство, смертельный диагноз. Но в итоге она победила. Стала известной журналисткой, автором многих книг. Этим книгам поверили тысячи людей. Поверили и не ошиблись. Система борьбы с болезнью помогла многим и многим! Перед вами не просто рассказ о жизни, а предельно откровенная исповедь величайшей женщины нашего времени! Вы не найдете в этой светлой книге ни жалоб, ни горечи, ни проклятий. Напротив, эта книга - признание в любви к людям и жизни! Для лиц старше 12 лет.",4 800 тг,2,АСТ,2014 г.,9785170841011,688,Твердый,240 мм x 170 мм,910 г.,http://www.bookcity.kz/content/images/thumbs/5045764_1391241.jpeg
Вам поможет пиявка,"Каменев Ю, Каменев О.","Эта книга призвана помочь вернуть людям чудодейственное лечебное средство, данное природой, - медицинскую пиявку. Если у вас пониженная сопротивляемость организма, если вы страдаете от хронических вялотекущих заболеваний, если вас мучают высокое кровяноедавление и боли в области сердца - эта книга для вас. В ней даны рекомендации по применению медицинских пиявок, их содержанию, в том числе и в домашних условиях. Впервые приведен лечебник с указанием точек и схем приставки пиявок при более сорока заболеваниях. Для врачей, студентов медицинских вузов, широкого круга читателей, небезразличных к собственному здоровью.",1 700 тг,1,Весь,2018 г.,9785957302711,256,Мягкий,200 мм x 130 мм,110 г.,http://www.bookcity.kz/content/images/thumbs/5092037_1429974.jpeg
Ваш ребенок курит?,Александров А.А. ,"К сожалению, очень часто родители, узнав, что их ребенок курит, занимают далеко не всегда правильную позицию. Многие взрослые, не имея представления о том, как предотвратить начало курения своего чада, приходят в растерянность, впадают в панику или не очень адекватно реагируют и проявляют агрессию. Другие наоборот, считают, что они не должны вмешиваться в жизнь своего ребенка, и он вправе сам решать, курить ему или нет, а многие просто стараются ничего не замечать - ведь курят же все вокруг, и ничего слава Богу, что не пьет и не колется (пока)… А ведь здоровье каждого конкретного человека, его родных и близких важно не только для него лично, тем более, если речь идет о детях. Что делать если ваш ребенок начал курить? Как уберечь его от искушения взять сигарету? Эта книга поможет вам избежать трудных ситуаций.",1 900 тг,0,Эксмо,2011 г.,9785699488650,256,Мягкий,16 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5023604_1346351.jpeg
Ваше тело просит воды,Батмангхелидж Ф.,"Хроническая нехватка воды в человеческом организме ведёт ко многим расстройствам и заболеваниям. Обучайтесь понимать, когда ваше тело нуждается в питьевой воде (вкупе с содержащимися в ней веществами), и не пытайтесь ""лечить"" жажду медикаментами. Для широкого круга читателей.",2 100 тг,4,Попурри,2018 г.,9789851521940,208,Мягкий,200 мм x 130 мм,157 г.,http://www.bookcity.kz/content/images/thumbs/5063158_1403598.jpeg
Введение в аюрведу. 3-е изд.,Агниваса А.,"Эта книга является попыткой понятно изложить для российских читателей основы аюрведы, для того чтобы они могли осознано применять аюрведические лекарства и при желании могли бы в дальнейшем без проблем перейти к более высокому уровню обучения аюрведе.",1 900 тг,0,Профит Стайл,2019 г.,9785988574842,Твердый,10 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130095_1462489.jpeg
Висцеральный массаж внутренних органов. Основы,Огулов А.Т.,"Александр Тимофеевич Огулов - президент профессиональной Ассоциации висцеральных терапевтов. Уникальный специалист в области висцеральной терапии (мануальная терапия внутренних органов, висцеральный массаж, массаж внутренних органов через переднюю стенку живота). Профессор и доктор традиционной народной медицины. В 1995 году создал Учебно-оздоровительный центр «Предтеча». В настоящий момент в Москве работают три его медицинских и один учебный центр. Участник множества телевизионных и радиопрограмм.Воздействие на организм висцеральным массажем по методике автора позволяет устранить венозный и лимфатический застои, опущение внутренних органов, снять спазмы и напряжения, справиться с наиболее частыми причинами возникновения патологических состояний организма.Свыше 20 тысяч обучившихся у А.Т.Огулова специалистов используют висцеральную терапию и помогают людям не только нормализовать работу всех внутренних органов, но и повысить работоспособность, улучшить психоэмоциональное состояние, дарят им здоровое долголетие.Эта книга знакомит вас с основами висцеральной терапии живота, рассказывает о современной и быстрой диагностике, а также дает возможность освоить уникальные разработки автора.Книга будет интересна и полезна профессиональным врачам разных специальностей, массажистам, методистам ЛФК, тренерам, спортсменам, а также просто любознательным людям, имеющим желание разобраться в себе, в своих болезнях, предупредить их приближение, помочь себе и своим близким.Новая редакция бестселлера ""Азбука висцеральной терапии"".",3 700 тг,5,АСТ,2019 г.,9785170930180,192,Твердый,215 мм x 145 мм,350 г.,http://www.bookcity.kz/content/images/thumbs/5114985_1448000.jpeg
"Вода - натуральное лекарство от ожирения, рака, депрессии",Батмангхелидж Ф.,"«Мудрость Воды», по мнению автора, заключается в том, что человек, препятствующий обезвоживанию собственного организма, препятствует и поражению его серьёзными заболеваниями. Для широкого круга читателей.",3 400 тг,3,Попурри,2017 г.,9789851526778,368,Мягкий,200 мм x 130 мм,215 г.,http://www.bookcity.kz/content/images/thumbs/5085440_1424256.jpeg
"Вода исцеляет, лекарства убивают",Батмангхелидж Ф.,"Информация, наполняющая эту книгу, противостоит ""фармацевтическому терроризму"", который, по мнению автора, является источником всех бед и неудач системы здравоохранения, и должна бы коренным образом изменить медицинскую практику. Для широкого круга читателей.",2 000 тг,3,Попурри,2014 г.,9789851524347,352,Мягкий,200 мм x 130 мм,210 г.,http://www.bookcity.kz/content/images/thumbs/5068306_1408010.jpeg
Вода:яд или лекарство? Тибетская медицина о воде,Чойжинимаева С.,"Книга ""Вода: яд или лекарство? Тибетская медицина о воде"" практикующего врача тибетской медицины Светланы Чойжинимаевой, основателя ""Наран"", первой клиники тибетской медицины в России, кандидата медицинских наук, члена Российского союза писателей, изменит ваше привычное представление о воде и ее влиянии на здоровье и жизнь человека. Она заставит вас задуматься и переоценить отношение к воде. Автор пишет об индивидуальном подходе к употреблению воды с учетом возраста, конституции, места проживания и т.д.Книга рассчитана на широкий круг читателей, медицинских работников, специалистов в области тибетской медицины.",1 500 тг,2,Аргументы недели,2018 г.,9785990877962,96,Мягкий,10 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5115972_1448930.jpeg
Все про массаж,Васичкин В.И.,"Книга будет интересна и для впервые изучающих разновидности массажа, и для специалистов-массажистов, желающих повысить свою квалификацию. Автор стремился в доступной форме донести основы выполнения различных манипуляций, применяемых в классическом, сегментарном, периостальном, точечном массаже. Описаны все виды массажа, механизмы его действия на организм, даны рекомендации по применению массажа и самомассажа при наиболее распространенных заболеваниях. В краткой, информативной форме изложены этиология и патогенез многих заболеваний, которые встречаются в практике специалиста по массажу. Издание рассчитано на специалистов по массажу, методистов лечебной физкультуры, медицинских сестер лечебных, оздоровительных и профилактических учреждений, а также для всех интересующихся применением массажа и самомассажа.",3 900 тг,5,АСТ,2018 г.,9785170990535,304,Твердый,240 мм x 170 мм,540 г.,http://www.bookcity.kz/content/images/thumbs/5090738_1428752.jpeg
